modelo,frame_evento,resumo_gerado,latencia_total_s,tempo_processamento_prompt_ms,tempo_geracao_ms,total_tokens_gerados,throughput_tps
qwen2.5:0.5b,5667.0,"Diagnóstico: Aceleração excessiva e desaceleração abrupta detectadas.

Ação Recomendada: Reduzir a velocidade e monitorar os sensores de aceleração.

Resumo: Para diagnosticar e prevenir aceleramentos excessivos e desaceleração abruptas, é recomendável reduzir a velocidade e monitorar os sensores de aceleração. Isso pode ajudar a prevenir danos ao sistema e melhorar a segurança do veículo.",0.6570796966552734,58618000.0,590837000.0,109,184.4840455150913
qwen2.5:0.5b,5763.0,"Diagnóstico: Mudanças abruptas na aceleração e direção indicam instabilidade.

Ação Recomendada: Reduzir a velocidade e estabilizar a direção imediatamente.

Resumo: A instabilidade geralmente é causada por mudanças abruptas na aceleração e direção. A ação recomendada é reduzir a velocidade e estabilizar a direção imediatamente para evitar a instabilidade.",0.6073610782623291,56861000.0,540548000.0,102,188.69739597593554
qwen2.5:0.5b,5783.0,"Diagnóstico: Aceleração excessiva e comportamento de direção instável detectados.

Ação Recomendada: Reduzir a aceleração e estabilizar a direção imediatamente.

Resumo: Para diagnosticar aceleração excessiva e comportamento de direção instável, a melhor ação é reduzir a aceleração e estabilizar a direção imediatamente.",0.5610804557800293,56892000.0,494470000.0,92,186.05779925981352
qwen2.5:0.5b,6052.0,"Diagnóstico: Aceleração negativa excessiva e frenagem abrupta

Ação Recomendada: Verificar sistema de frenagem e calibrar sensores de aceleração

Resumo: Este diagnóstico sugere que a aceleração negativa excessiva e a frenagem abrupta são problemas que podem ser causados por problemas de frenagem ou sensores de aceleração. A ação recomendada é verificar o sistema de frenagem e ajustar os sensores de aceleração para melhorar a aceleração e a frenagem.",0.7172410488128662,45452000.0,662556000.0,124,187.1539915116609
qwen2.5:0.5b,6625.0,"Diagnóstico: Aceleração negativa excessiva e desaceleração abrupta detectadas.

Ação Recomendada: Verificar sistema de frenagem e calibrar sensores de aceleração.

Resumo: Este diagnóstico sugere que o sistema de frenagem está funcionando mal e que o sensores de aceleração estão desacelerando exageradamente. A ação recomendada é verificar o sistema de frenagem e ajustar os sensores de aceleração para melhorar a aceleração.",0.6837260723114014,45062000.0,629169000.0,117,185.95957524925737
qwen2.5:0.5b,5667.0,"Diagnóstico: Aceleração excessiva e desaceleração abrupta detectadas.

Ação Recomendada: Reduzir a velocidade e monitorar a estabilidade do veículo.

Resumo: A aceleração excessiva e a desaceleração abrupta são problemas que podem causar danos ao veículo. A ação recomendada é reduzir a velocidade e monitorar a estabilidade do veículo para evitar esses problemas.",0.5554943084716797,26359000.0,517534000.0,97,187.42729946245075
qwen2.5:0.5b,5763.0,"Diagnóstico: Aceleração excessiva e comportamento errático do veículo detectados.

Ação Recomendada: Reduzir a aceleração e estabilizar a direção.

Resumo: A aceleração excessiva e o comportamento errático do veículo podem ser causados por vários fatores, incluindo a falta de estabilização da direção, a aceleração excessiva, a falta de controle e a falta de estabilidade. A ação recomendada neste caso é reduzir a aceleração e estabilizar a direção para melhorar a segurança e a eficiência do veículo.",0.7767713069915771,44485000.0,722975000.0,136,188.11162211694733
qwen2.5:0.5b,5783.0,"Diagnóstico: Aceleração excessiva e comportamento de direção instável detectados.

Ação Recomendada: Reduzir a aceleração e estabilizar a direção imediatamente.

Resumo: A aceleração excessiva e o comportamento de direção instável são problemas que podem ser corrigidos reduzindo a aceleração e estabilizando a direção imediatamente.",0.5122570991516113,5725000.0,494803000.0,93,187.9535896104106
qwen2.5:0.5b,6052.0,"Diagnóstico: Aceleração negativa excessiva e possível perda de controle.

Ação Recomendada: Reduzir a velocidade e aplicar controle de estabilidade.

Resumo: Para melhorar a aceleração negativa e garantir a perda de controle, a ação recomendada é reduzir a velocidade e aplicar controle de estabilidade. Este processo pode incluir ajustes na estrutura do veículo, uso de freios, e ajustes na estrutura do motor. Além disso, é importante manter a estrutura e a estrada de forma segura para evitar acidentes.",0.7751526832580566,44896000.0,720899000.0,134,185.8790205007914
qwen2.5:0.5b,6625.0,"Diagnóstico: Aceleração negativa excessiva e possível perda de controle.

Ação Recomendada: Reduzir a velocidade e estabilizar a direção.

Resumo: Para lidar com a aceleração negativa excessiva e a possibilidade de perda de controle, a ação recomendada é reduzir a velocidade e estabilizar a direção. Isso pode ser feito através de mudanças na estrutura e na estrutura do veículo, como ajustes de freio, ajustes de aceleração ou ajustes de direção, para evitar a aceleração negativa e manter a direção.",0.8029239177703857,26024000.0,767493000.0,142,185.01797410530128
