modelo,frame_evento,resumo_gerado,latencia_total_s,tempo_processamento_prompt_ms,tempo_geracao_ms,total_tokens_gerados,throughput_tps
qwen2.5:0.5b,5667.0,"Diagnóstico: Aceleração excessiva e desaceleração abrupta detectadas.

Ação Recomendada: Reduzir a velocidade e monitorar os sensores de aceleração.

Resumo: A aceleração excessiva e a desaceleração abrupta são problemas que podem ser causados por várias razões, como o uso excessivo de motor, a pressão de acelerador, ou a pressão de freio. A ação recomendada neste caso é reduzir a velocidade e monitorar os sensores de aceleração para identificar e prevenir esses problemas.",0.7967886924743652,72996000.0,716227000.0,134,187.09152265971545
qwen2.5:0.5b,5763.0,"Diagnóstico: Mudanças abruptas na aceleração e direção indicam instabilidade.

Ação Recomendada: Reduzir a velocidade e estabilizar a direção imediatamente.

Resumo: A instabilidade geralmente é causada por mudanças abruptas na aceleração e direção. A ação recomendada é reduzir a velocidade e estabilizar a direção imediatamente, para evitar a instabilidade e garantir a segurança e a eficiência da ação.",0.6885778903961182,57415000.0,621820000.0,116,186.54916213695282
qwen2.5:0.5b,5783.0,"Diagnóstico: Aceleração excessiva e comportamento de direção instável detectados.

Ação Recomendada: Reduzir a aceleração e estabilizar a direção imediatamente.

Resumo: A aceleração excessiva e a instabilidade de direção podem ser causadas por várias razões, incluindo problemas de motorização, estresse, ou problemas de segurança. A ação recomendada neste caso é reduzir a aceleração e estabilizar a direção imediatamente, o que pode ajudar a evitar acidentes e melhorar a segurança do veículo.",0.7863085269927979,58012000.0,717849000.0,134,186.66878410362068
qwen2.5:0.5b,6052.0,"Diagnóstico: Aceleração negativa excessiva e frenagem abrupta.

Ação Recomendada: Verificar sistema de frenagem e calibrar sensores de aceleração.

Resumo: Aceleração negativa excessiva e frenagem abrupta são problemas que podem ser causados por problemas de frenagem ou sensores de aceleração. A ação recomendada é verificar o sistema de frenagem e calibrar os sensores de aceleração para garantir que eles funcionem corretamente.",0.6686205863952637,46307000.0,612582000.0,115,187.72996921228506
qwen2.5:0.5b,6625.0,"Diagnóstico: Aceleração negativa excessiva e desaceleração abrupta detectadas.

Ação Recomendada: Verificar sistema de frenagem e calibrar sensores de aceleração.

Resumo: Este diagnóstico sugere que o sistema de frenagem está funcionando de maneira inadequada, causando aceleração negativa excessiva e desaceleração abrupta. Para corrigir este problema, é recomendável verificar o sistema de frenagem e ajustar os sensores de aceleração para melhorar a precisão e a eficiência do sistema.",0.8168976306915283,45536000.0,762282000.0,131,171.85241157471907
qwen2.5:0.5b,5667.0,"Diagnóstico: Aceleração excessiva e desaceleração abrupta detectadas.

Ação Recomendada: Reduzir a velocidade e monitorar a estabilidade do veículo.

Resumo: A aceleração excessiva e a desaceleração abrupta são problemas que podem ser causados por várias razões, incluindo a falta de estabilidade do veículo. A ação recomendada neste caso é reduzir a velocidade e monitorar a estabilidade do veículo para evitar esses problemas.",0.7959640026092529,32767000.0,749895000.0,111,148.02072290120617
qwen2.5:0.5b,5763.0,"Diagnóstico: Aceleração excessiva e comportamento errático do veículo detectados.

Ação Recomendada: Reduzir a aceleração e estabilizar a direção.

Resumo: A aceleração excessiva e o comportamento errático do veículo podem ser causados por vários fatores, incluindo a falta de estabilização da direção ou a aceleração excessiva. A ação recomendada neste caso é reduzir a aceleração e estabilizar a direção, o que pode ajudar a evitar esses problemas.",0.8985469341278076,53534000.0,834629000.0,124,148.56900491116414
qwen2.5:0.5b,5783.0,"Diagnóstico: Aceleração excessiva e comportamento de direção instável detectados.

Ação Recomendada: Reduzir a aceleração e estabilizar a direção imediatamente.

Resumo: A aceleração excessiva e a direção instável são problemas que podem ser corrigidos imediatamente reduzindo a aceleração e estabilizando a direção.",0.6166369915008545,6936000.0,597984000.0,90,150.50569914914112
qwen2.5:0.5b,6052.0,"Diagnóstico: Aceleração negativa excessiva e possível perda de controle.

Ação Recomendada: Reduzir a velocidade e aplicar controle de estabilidade.

Resumo: Para melhorar a aceleração negativa e evitar a possibilidade de perda de controle, é recomendável reduzir a velocidade e aplicar controle de estabilidade.",0.6124682426452637,53123000.0,550499000.0,81,147.13923186054834
qwen2.5:0.5b,6625.0,"Diagnóstico: Aceleração negativa excessiva, possível perda de controle.

Ação Recomendada: Reduzir a velocidade e estabilizar a direção.

Resumo: Para reduzir a aceleração negativa e estabilizar a direção, a ação recomendada é reduzir a velocidade e estabilizar a direção.",0.5921149253845215,32668999.0,550074000.0,82,149.0708522853289
